model,ens,exp,postprocess,table,grid,varn,period,mean
MIROC6,r31i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r32i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r33i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.42
MIROC6,r34i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.35
MIROC6,r35i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.36
MIROC6,r36i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r37i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.38
MIROC6,r38i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.42
MIROC6,r39i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r40i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.37
MIROC6,r41i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.44
MIROC6,r42i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.47
MIROC6,r43i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.38
MIROC6,r44i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.45
MIROC6,r45i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.41
MIROC6,r46i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.44
MIROC6,r47i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r48i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.42
MIROC6,r49i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r50i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.41
MIROC-ES2L,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.18
MIROC-ES2L,r2i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.16
MIROC-ES2L,r3i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.17
MIROC-ES2L,r4i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.17
MIROC-ES2L,r5i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.19
MIROC-ES2L,r6i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.16
MIROC-ES2L,r7i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.18
MIROC-ES2L,r8i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.17
MIROC-ES2L,r9i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.17
MIROC-ES2L,r10i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,288.16
MPI-ESM1-2-HR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.07
MPI-ESM1-2-HR,r2i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.05
