model,ens,exp,postprocess,table,grid,varn,period,mean
CNRM-CM6-1-HR,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2021-2040,2.01
CNRM-CM6-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2021-2040,1.59
CNRM-ESM2-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2021-2040,1.30
CanESM5-CanOE,r1i1p2f1,ssp126,global_mean,Amon,gn,tas,2021-2040,2.35
CanESM5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,2.20
EC-Earth3-Veg-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.52
EC-Earth3-Veg,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,2.01
EC-Earth3,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.72
FGOALS-f3-L,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.74
FGOALS-g3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.37
FIO-ESM-2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.90
GFDL-ESM4,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.22
GISS-E2-1-G,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,2.01
HadGEM3-GC31-LL,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2021-2040,1.83
HadGEM3-GC31-MM,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2021-2040,1.59
IITM-ESM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.31
INM-CM4-8,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.31
INM-CM5-0,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.40
IPSL-CM6A-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.82
KACE-1-0-G,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,2.30
KIOST-ESM,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2021-2040,1.64
MCM-UA-1-0,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,1.68
MIROC6,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.13
MIROC-ES2L,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,1.28
MPI-ESM1-2-HR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.39
MPI-ESM1-2-LR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.34
MRI-ESM2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.52
NESM3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.71
