#Covars (covariate phase for each covs - do not alter this line)
# fracbelow2 # largeZoop_integrated # pH_depthavg # temp_bottom5m # temp_surface5m # fracbelow2_Winter # largeZoop_integrated_Winter # pH_depthavg_Winter # temp_bottom5m_Winter # temp_surface5m_Winter # fracbelow2_Spring # largeZoop_integrated_Spring # pH_depthavg_Spring # temp_bottom5m_Spring # temp_surface5m_Spring # fracbelow2_Summer # largeZoop_integrated_Summer # pH_depthavg_Summer # temp_bottom5m_Summer # temp_surface5m_Summer # fracbelow2_Fall # largeZoop_integrated_Fall # pH_depthavg_Fall # temp_bottom5m_Fall # temp_surface5m_Fall
#nspp2 : 

#nTyrs : number years for the zooplankton hindcast data 
41
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
#ncov : number of covariates 
25
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
#  temp_surface5m_Summer : temp_surface5m_Summer
0.6918822 0.3318967 1.058502 -0.8356798 0.9896711 0.6356212 -0.3970308 -0.8004612 0.811497 -0.02109412 0.695215 -0.1429882 0.5892363 -0.9212345 0.7801911 -0.3551784 0.01436552 -0.6786044 0.4067181 -1.3119 -1.724102 -0.8289458 -0.6966732 0.9095159 1.539685 2.559697 1.452377 -0.6134178 -0.06794521 -1.105674 -1.495066 -0.7781922 -2.165938 -2.628644 -0.7931711 2.852682 0.7757248 3.007592 0.1675146 0.4617756 2.530229
#  fracbelow2_Fall : fracbelow2_Fall
-1.002029 -0.9620766 -0.8048093 -1.073759 -1.244889 -0.06471166 -0.9404135 -0.4838776 -0.4582016 -0.1360818 -0.5314204 -0.3109534 -0.1262248 1.531885 -1.081546 0.4167289 1.178194 -0.7930254 0.8677509 -0.7901483 1.550717 -0.7567125 0.4568179 -0.8828823 -1.265712 -0.4564177 0.1341972 0.8223199 1.344959 1.78884 2.12628 0.9451732 0.8468211 2.837465 0.3730976 -1.555791 -0.6234012 -1.463144 -0.7085737 -1.608684 -1.681738
#  largeZoop_integrated_Fall : largeZoop_integrated_Fall
0.06090898 0.5051442 -1.234161 0.5551642 1.703537 -1.227457 -0.7714297 -0.3515755 -0.2735547 -0.2454035 -1.203981 -0.702978 -0.1758413 -0.9988325 -0.187363 0.9792739 -0.1971577 -0.7815206 -0.4051271 1.403948 -0.3717135 0.7124767 0.1227091 -0.7882768 -1.000572 -1.329369 -0.2616563 1.435525 2.628663 0.1246447 0.9894976 1.347387 0.9642081 1.873447 0.2131317 0.3985765 -0.2597858 -0.6289686 0.1873669 -1.867169 -1.133518
#  pH_depthavg_Fall : pH_depthavg_Fall
1.333125 1.013446 1.101287 1.399298 0.5967806 0.7656799 1.173279 0.2614576 0.5004525 1.054939 0.8234214 0.5381396 0.5063105 1.073666 0.1770217 0.6821139 0.5449182 0.4500512 0.7804261 -0.7879657 -0.6870165 -0.8596208 -0.18472 -0.878563 -0.6876104 -0.4015885 -0.4875369 -1.341742 -1.805789 -1.977032 -1.655012 -1.688491 -1.361273 -1.539459 -2.597958 -2.292175 -1.844058 -1.68093 -1.63038 -3.49282 -3.519289
#  temp_bottom5m_Fall : temp_bottom5m_Fall
1.767505 1.476033 1.014324 0.9963144 1.406664 -0.08136023 0.6696687 0.5172912 0.9562561 0.2270624 0.471727 0.2686327 0.2048298 -1.271407 1.612993 -0.3644565 -1.264625 -0.1023938 -0.8672636 0.464921 -1.651268 0.2077844 -0.4496927 0.7574942 1.127389 0.2356476 0.09088333 -0.684809 -1.456746 -1.873692 -1.768653 -0.8695502 -1.068898 -2.690353 -0.6459272 1.11318 1.113509 2.177609 0.2187612 1.019175 1.575976
