FID_ROMS_r,eta_rho,xi_rho,lat_DD,lon_DD,FID_polygo,AREA,PERIMETER,EBS_BLOCKS,EBS_BLOC_1,EBSGRID_AL,EBSGRID__1,STATION_GR,STATION__1,STATION_ID
12817,71.000000,78.000000,55.372895,-167.295200,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
9550,53.000000,87.000000,55.378428,-163.643119,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12454,69.000000,79.000000,55.378539,-166.889573,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9913,55.000000,86.000000,55.382842,-164.048840,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
12091,67.000000,80.000000,55.382925,-166.483849,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10276,57.000000,85.000000,55.385999,-164.454634,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11728,65.000000,81.000000,55.386055,-166.078054,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10639,59.000000,84.000000,55.387900,-164.860477,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11365,63.000000,82.000000,55.387927,-165.672211,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
11002,61.000000,83.000000,55.388542,-165.266344,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
13725,76.000000,76.000000,55.400298,-168.271438,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13362,74.000000,77.000000,55.408964,-167.865698,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
12999,72.000000,78.000000,55.416374,-167.459805,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
9369,52.000000,88.000000,55.421268,-163.397688,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12636,70.000000,79.000000,55.422526,-167.053781,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9732,54.000000,87.000000,55.426442,-163.803797,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
12273,68.000000,80.000000,55.427420,-166.647650,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10095,56.000000,86.000000,55.430357,-164.209993,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
11910,66.000000,81.000000,55.431056,-166.241438,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10458,58.000000,85.000000,55.433015,-164.616252,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11547,64.000000,82.000000,55.433434,-165.835168,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10821,60.000000,84.000000,55.434413,-165.022551,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
11184,62.000000,83.000000,55.434553,-165.428864,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
13907,77.000000,76.000000,55.442544,-168.437139,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13544,75.000000,77.000000,55.451722,-168.031026,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13181,73.000000,78.000000,55.459642,-167.624748,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
9188,51.000000,89.000000,55.463645,-163.151762,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12818,71.000000,79.000000,55.466304,-167.218330,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
